Country,Total Medal Count
Afghanistan,2
Algeria,15
Argentina,259
Armenia,11
Australia,1204
Austria,426
Azerbaijan,26
Bahamas,27
Bahrain,1
Barbados,1
Belarus,128
Belgium,424
Bermuda,1
Botswana,1
Brazil,431
Bulgaria,339
Burundi,1
Cameroon,23
Canada,1274
Chile,33
China,889
Colombia,19
Costa Rica,4
Cote d'Ivoire,1
Croatia,125
Cuba,410
Cyprus,1
Czech Republic,131
Denmark,512
Djibouti,1
Dominican Republic,6
Ecuador,2
Egypt,28
Eritrea,1
Estonia,46
Ethiopia,45
Finland,890
France,1548
Gabon,1
Georgia,25
Germany,1665
Ghana,16
Greece,148
Grenada,1
Guatemala,1
Guyana,1
Haiti,8
Hong Kong,4
Hungary,1091
Iceland,17
India,184
Indonesia,38
Iran,61
Iraq,1
Ireland,30
Israel,7
Italy,1488
Jamaica,127
Japan,851
Kazakhstan,56
Kenya,93
"Korea, North",60
"Korea, South",616
Kuwait,2
Kyrgyzstan,3
Latvia,35
Lebanon,4
Liechtenstein,9
Lithuania,55
Luxembourg,4
Macedonia,1
Malaysia,8
Mauritius,1
Mexico,106
Moldova,6
Mongolia,24
Morocco,22
Mozambique,2
Namibia,4
Netherlands,973
Netherlands Antilles,1
New Zealand,191
Niger,1
Nigeria,84
Norway,1011
Pakistan,121
Panama,3
Paraguay,17
Peru,15
Philippines,9
Poland,538
Portugal,33
Puerto Rico,8
Qatar,4
Russia,1031
Saudi Arabia,6
Senegal,1
Serbia,14
Singapore,4
Slovakia,39
Slovenia,44
South Africa,106
Spain,444
Sri Lanka,2
Sudan,1
Suriname,2
Sweden,1477
Switzerland,665
Syria,3
Taiwan,44
Tajikistan,3
Tanzania,2
Thailand,25
Togo,1
Tonga,1
Trinidad and Tobago,20
Tunisia,10
Turkey,86
Uganda,7
Ukraine,184
United Arab Emirates,1
United Kingdom,1799
United States,5238
Uruguay,76
Uzbekistan,21
Venezuela,12
Vietnam,2
Virgin Islands,1
Zambia,2
Zimbabwe,23
,
