Country,Population,GDP per Capita
Afghanistan,32526562,594.3230812
Albania,2889167,3945.217582
Algeria,39666519,4206.031232
American Samoa,55538,0
Andorra,70473,0
Angola,25021974,4101.472152
Antigua and Barbuda,91818,13714.73196
Argentina,43416755,13431.87834
Armenia,3017712,3489.12769
Aruba,103889,0
Australia,23781169,56310.96299
Austria,8611088,43774.98517
Azerbaijan,9651349,5496.34464
Bahamas,388019,22817.23086
Bahrain,1377237,22600.2141
Bangladesh,160995642,1211.701531
Barbados,284215,15429.34046
Belarus,9513000,5740.456495
Belgium,11285721,40324.02777
Belize,359287,4878.721267
Bermuda,65235,0
Benin,10879829,762.0512054
Bhutan,774830,2655.998892
Bolivia,10724705,3076.791811
Bosnia and Herzegovina,3810416,4249.330313
Botswana,2262485,6360.13822
Brazil,207847528,8538.589975
British Virgin Islands,30117,0
Brunei,423188,30554.72967
Bulgaria,7177991,6993.47736
Burkina Faso,18105570,589.7744141
Burundi,11178921,277.0683092
Cambodia,15577899,1158.689904
Cameroon,23344179,1217.26067
Canada,35851774,43248.52991
Cape Verde,520502,3080.178814
Cayman Islands,59967,0
Central African Republic,4900274,323.201674
Chad,14037472,775.6950905
Chile,17948141,13416.23004
China,1371220000,8027.68381
Colombia,48228704,6056.147717
Comoros,788474,717.44885
Congo,4620330,1851.199916
"Congo, Dem Rep",77266814,456.0527405
Cook Islands,0,0
Costa Rica,4807850,11260.09216
Cote d'Ivoire,22701556,1398.989958
Croatia,4224404,11535.82936
Cuba,11389562,0
Cyprus,1165300,23242.84007
Czech Republic,10551219,17548.33821
Denmark,5676002,51989.29347
Djibouti,887861,1945.124293
Dominica,72680,7116.386392
Dominican Republic,10528391,6468.473492
East Timor (Timor-Leste),1245015,1157.992956
Ecuador,16144363,6205.064145
Egypt,91508084,3614.746766
El Salvador,6126583,4219.35033
Equatorial Guinea,845060,14439.59445
Eritrea,0,0
Estonia,1311998,17118.5042
Ethiopia,99390750,619.1694065
Fiji,892145,4960.519954
Finland,5482013,42311.03623
France,66808385,36205.5681
Gabon,1725292,8266.445605
Gambia,1990924,471.5371955
Georgia,3679000,3795.973308
Germany,81413145,41313.31399
Ghana,27409893,1369.701122
Greece,10823732,18002.23058
Grenada,106825,9212.020352
Guam,169885,0
Guatemala,16342897,3903.478856
Guinea,12608590,531.3205952
Guinea-Bissau,1844325,572.9884285
Guyana,767085,4127.351018
Haiti,10711067,818.3432976
Honduras,8075060,2528.89355
Hong Kong,7305700,42327.83996
Hungary,9844686,12363.54346
Iceland,330823,50173.33992
India,1311050527,1598.259034
Indonesia,257563815,3346.487039
Iran,79109272,0
Iraq,36423395,4943.760388
Ireland,4640703,61133.67243
Israel,8380400,35728.0935
Italy,60802085,29957.80432
Jamaica,2725941,5232.024583
Japan,126958472,32477.21514
Jordan,7594547,4940.045836
Kazakhstan,17544126,10509.98107
Kenya,46050302,1376.712829
"Korea, North",25155317,0
"Korea, South",50617045,27221.52405
Kuwait,3892115,29300.57558
Kyrgyzstan,5957000,1103.215352
Laos,6802023,1818.441373
Latvia,1978440,13648.54756
Lebanon,5850743,8047.645086
Lesotho,2135022,1066.985626
Liberia,4503438,455.8739345
Libya,6278438,0
Liechtenstein,37531,0
Lithuania,2910199,14147.04938
Luxembourg,569676,101449.9682
Macedonia,2078453,4852.657848
Madagascar,24235390,401.836006
Malawi,17215232,371.9857478
Malaysia,30331007,9768.32686
Maldives,409163,8395.785198
Mali,17599694,724.2562832
Malta,431333,22596.18177
Mauritania,4067564,0
Mauritius,1262605,9252.110724
Mexico,127017224,9005.024265
Micronesia,104460,3015.231668
Moldova,3554150,1848.061804
Monaco,37731,0
Mongolia,2959134,3967.829386
Morocco,34377511,2878.201342
Mozambique,27977863,529.2425561
Burma,53897154,1161.488158
Namibia,2458830,4673.567248
Nauru,10222,9827.544281
Nepal,28513700,743.3229657
Netherlands,16936520,44299.76809
Netherlands Antilles,0,0
New Zealand,4595700,37807.96728
Nicaragua,6082032,2086.895003
Niger,19899120,358.958152
Nigeria,182201962,2640.290739
Norway,5195921,74400.36978
Oman,4490541,15550.67625
Pakistan,188924874,1434.696665
Palau,21291,13498.66141
"Palestine, Occupied Territories",0,0
Panama,3929141,13268.11375
Papua New Guinea,7619321,0
Paraguay,6639123,4080.951448
Peru,31376670,6027.125855
Philippines,100699395,2904.202082
Poland,37999494,12554.54755
Portugal,10348648,19222.15008
Puerto Rico,3474182,0
Qatar,2235355,73653.39443
Romania,19832389,8972.922518
Russia,144096812,9092.580536
Rwanda,11609666,697.3482281
Saint Kitts and Nevis,55572,15771.9455
Saint Lucia,184999,7735.910484
Saint Vincent and the Grenadines,109462,6739.174833
Samoa,193228,3938.548846
San Marino,31781,0
Sao Tome and Principe,190344,1669.063268
Saudi Arabia,31540372,20481.74532
Senegal,15129273,899.5798795
Serbia,7098247,5235.142207
Seychelles,92900,15476.01944
Sierra Leone,6453184,653.1318159
Singapore,5535002,52888.74467
Slovakia,5424050,16088.27759
Slovenia,2063768,20726.53989
Solomon Islands,583591,1934.856293
Somalia,10787104,549.2669766
South Africa,54956920,5723.973357
Spain,46418269,25831.58231
Sri Lanka,20966000,3926.174396
Sudan,40234882,2414.723601
Suriname,542975,9485.319244
Swaziland,1286970,3200.143018
Sweden,9798871,50579.67365
Switzerland,8286976,80945.07922
Syria,18502413,0
Taiwan,0,0
Tajikistan,8481855,925.9118877
Tanzania,53470420,878.9751055
Thailand,67959359,5814.769764
Togo,7304578,559.6358767
Tonga,106170,4098.543929
Trinidad and Tobago,1360088,17321.88468
Tunisia,11107800,3872.512084
Turkey,78665830,9125.68759
Turkmenistan,5373502,6672.477544
Uganda,39032383,705.2925695
Ukraine,45198200,2114.954716
United Arab Emirates,9156963,40438.76293
United Kingdom,65138232,43875.96961
United States,321418820,56115.71843
Uruguay,3431555,15573.90092
Uzbekistan,31299500,2132.070368
Vanuatu,264652,2805.314644
Venezuela,31108083,0
Vietnam,91703800,2111.138024
Virgin Islands,103574,0
Yemen,26832215,1406.291651
Zambia,16211767,1304.879014
Zimbabwe,15602751,924.1438193
